Index,IncidentID,MakeDescription,ModelDescription,CollisionTime,CollisionDate
0,24442346,CHEVROLET,SONIC,20.0,2019-01-01
1,24442536,FORD,TAURUS,14.0,2019-01-01
2,24440390,HYUNDAI,ELANTRA,18.0,2019-01-01
3,24442531,NISSAN,QUEST,9.0,2019-01-01
4,24438620,MITSUBISHI,LANCER,3.0,2019-01-01
5,26127485,TOYOTA,COROLLA,23.0,2019-01-01
6,24438620,CHEVROLET,CRUZE,3.0,2019-01-01
7,26127485,OLDSMOBILE,REGENCY,23.0,2019-01-01
8,26123340,CHEVROLET,MALIBU,2.0,2019-01-01
9,26123340,CHEVROLET,IMP,2.0,2019-01-01
10,24450508,NISSAN,ROGUE,14.0,2019-01-01
11,24442330,KIA MOTORS CORP,RIO,18.0,2019-01-01
12,24556990,TOYOTA,HIGHLANDER,17.0,2019-01-01
13,24442558,AUDI,A5,19.0,2019-01-01
14,24442336,FORD,MUSTANG,3.0,2019-01-01
15,24465911,HYUNDAI,ELANTRA,10.0,2019-01-01
16,24465911,ACURA,TL,10.0,2019-01-01
17,24442340,CHEVROLET,BERETTA,18.0,2019-01-01
18,24497494,CHEVROLET,CAMARO,4.0,2019-01-01
19,24438964,CHEVROLET,MALIBU,15.0,2019-01-01
20,24438964,FORD,TAURUS,15.0,2019-01-01
21,24442354,FORD,F150,20.0,2019-01-01
22,24442546,FORD,EDGE,20.0,2019-01-01
23,24442311,SUBARU,OUTBACK,22.0,2019-01-01
24,24442536,CHEVROLET,EQUINOX,14.0,2019-01-01
25,24442344,FORD,EXPLORER,22.0,2019-01-01
26,24480540,LEXUS,GS300,13.0,2019-01-01
27,24442331,FORD,FUSION,14.0,2019-01-01
28,24480540,HONDA,CIVIC,13.0,2019-01-01
29,24442346,TOYOTA,RAV4,20.0,2019-01-01
30,26127656,TOYOTA,COROLLA,11.0,2019-01-01
31,26684362,KIA MOTORS CORP,FORTE,5.0,2019-01-01
32,24442340,HONDA,CIVIC,18.0,2019-01-01
33,24440390,DODGE,DAKOTA,18.0,2019-01-01
34,24442311,FORD,F150,22.0,2019-01-01
35,24442338,HONDA,CIVIC,12.0,2019-01-01
36,24453036,DODGE,AVENGER,12.0,2019-01-01
37,24453036,FORD,FOCUS,12.0,2019-01-01
38,24442545,CHEVROLET,MONTE CARLO,22.0,2019-01-01
39,24442545,CHEVROLET,CAVALIER,22.0,2019-01-01
40,24444711,CHEVROLET,CAMARO,1.0,2019-01-01
41,24442336,KIA MOTORS CORP,FORTE,3.0,2019-01-01
42,24464478,CHEVROLET,MALIBU,14.0,2019-01-01
43,24556990,HYUNDAI,ELANTRA,17.0,2019-01-01
44,24444711,MAZDA,3,1.0,2019-01-01
45,24442334,CHEVROLET,MALIBU,11.0,2019-01-01
46,24556990,KIA MOTORS CORP,OPTIMA,17.0,2019-01-01
47,24438604,CHEVROLET,2 DOOR CONVENTIONAL CAB 4X2,23.0,2019-01-01
48,24442357,FORD,F350,20.0,2019-01-01
49,24442344,NISSAN,ALTIMA,22.0,2019-01-01
50,24442348,DODGE,DART,18.0,2019-01-01
51,24442348,VOLKSWAGEN,PASSAT,18.0,2019-01-01
52,24442331,BUICK,ENCORE,14.0,2019-01-01
53,24442354,TOYOTA,COROLLA,20.0,2019-01-01
54,24442357,MITSUBISHI,LANCER,20.0,2019-01-01
55,24464512,CHEVROLET,IMPALA,4.0,2019-01-01
56,24442527,HONDA,ACCORD,13.0,2019-01-01
57,24442527,VOLKSWAGEN,JETTA,13.0,2019-01-01
58,24442356,TOYOTA,YARIS,21.0,2019-01-01
59,24442546,TOYOTA,RAV4,20.0,2019-01-01
60,24442324,HONDA,CRV,14.0,2019-01-01
61,24444713,FORD,TAURUS,11.0,2019-01-01
62,24464478,JEEP,COMPASS,14.0,2019-01-01
63,24464512,DODGE,CHALLENGER,4.0,2019-01-01
64,24442330,ISUZU,RODEO,18.0,2019-01-01
65,24442558,FORD,EXPEDITION,19.0,2019-01-01
66,24480549,TOYOTA,CAMRY,13.0,2019-01-01
67,24450507,FORD,EXPLORER,18.0,2019-01-01
68,24442531,NISSAN,ROGUE,9.0,2019-01-01
69,24442545,JEEP,LIBERTY,22.0,2019-01-01
70,24447583,TOYOTA,CAMRY,5.0,2019-01-01
71,24442356,NISSAN,MURANO,21.0,2019-01-01
72,24465911,ACURA,MDX,10.0,2019-01-01
73,24442539,CHEVROLET,EQUINOX,18.0,2019-01-01
74,24450507,HONDA,ACCORD,18.0,2019-01-01
75,24444713,KIA MOTORS CORP,OPTIMA,11.0,2019-01-01
76,24447564,FORD,TAURUS,5.0,2019-01-01
77,24447564,CHEVROLET,SILVERADO,5.0,2019-01-01
78,24442334,JEEP,LIBERTY,11.0,2019-01-01
79,24447583,CHEVROLET,IMPALA,5.0,2019-01-01
80,26127481,HONDA,ACCORD,10.0,2019-01-01
81,24442324,NISSAN,ROGUE,14.0,2019-01-01
82,24442548,PONTIAC,GRAND AM,22.0,2019-01-01
83,24442551,FORD,FUSION,18.0,2019-01-01
84,24442551,LEXUS,ES330,18.0,2019-01-01
85,24438604,CHEVROLET,MALIBU,23.0,2019-01-01
86,24442548,FORD,FUSION,22.0,2019-01-01
87,24445750,GENERAL MOTORS CORP,TERRAIN,17.0,2019-01-02
88,24445784,CHEVROLET,TRACKER TRA,18.0,2019-01-02
89,24469447,FORD,TAURUS,3.0,2019-01-02
90,24445750,FORD,EXPLORER,17.0,2019-01-02
91,24447552,CHRYSLER,300 TOURING,9.0,2019-01-02
92,24447576,FORD,F350,17.0,2019-01-02
93,24453078,KIA MOTORS CORP,OPTIMA,13.0,2019-01-02
94,24477758,DODGE,CARAVAN,14.0,2019-01-02
95,24447560,TOYOTA,RAV4,16.0,2019-01-02
96,24469395,NISSAN,MAXIMA,14.0,2019-01-02
97,26133756,GENERAL MOTORS CORP,SIERRA,20.0,2019-01-02
98,24539428,TOYOTA,COROLLA,7.0,2019-01-02
99,24453078,HONDA,CIVIC,13.0,2019-01-02
100,24447552,TOYOTA,CAMRY,9.0,2019-01-02
101,24444299,MAZDA,MAZDA 6,7.0,2019-01-02
102,24447557,FORD,MUSTANG,15.0,2019-01-02
103,24444710,TOYOTA,SOLARA,13.0,2019-01-02
104,24447593,DODGE,CHALLENGER,22.0,2019-01-02
105,24447577,INTERNATIONAL,4300 SERIES,21.0,2019-01-02
106,24452459,CADILLAC,XTS,15.0,2019-01-02
107,24453027,HONDA,CRV,17.0,2019-01-02
108,24453071,CHEVROLET,SMALL CONVNTNL CAB 4X2 EX,15.0,2019-01-02
109,24469395,CHEVROLET,MALIBU,14.0,2019-01-02
110,24469431,CHEVROLET,IMPALA,19.0,2019-01-02
111,24447577,JEEP,CHEROKEE,21.0,2019-01-02
112,24447588,LEXUS,GX460,18.0,2019-01-02
113,24453051,CHEVROLET,MONTE CARLO,14.0,2019-01-02
114,24469431,TOYOTA,CAMRY,19.0,2019-01-02
115,24566527,CHEVROLET,IMPALA,12.0,2019-01-02
116,24447594,HYUNDAI,SANTA FE,17.0,2019-01-02
117,24447547,JEEP,GRAND CHEROKEE,11.0,2019-01-02
118,24449904,FORD,TAURUS,14.0,2019-01-02
119,24539428,HONDA,PILOT,7.0,2019-01-02
120,24447553,CHEVROLET,EQUINOX,9.0,2019-01-02
121,24453075,FORD,FUSION,18.0,2019-01-02
122,24453038,UNKNOWN,UNKNOWN,20.0,2019-01-02
123,24924402,HYUNDAI,ELANTRA,21.0,2019-01-02
124,24924402,NISSAN,ALTIMA,21.0,2019-01-02
125,24924402,BUICK,LACROSSE,21.0,2019-01-02
126,24453025,KENWORTH,T7 SERIES,13.0,2019-01-02
127,24447572,NISSAN,NV2500,12.0,2019-01-02
